日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,740564,41092279,56.1,55.3,55.49,758
114/08/14,526170,29428856,56.3,55.7,55.93,493
114/08/13,1383494,77199886,56.5,55.3,55.8,1041
114/08/12,1470171,83204337,57.3,56.0,56.6,1170
114/08/11,2219833,127563620,58.5,57.0,57.47,1725
114/08/08,1698342,99941919,59.4,58.4,58.85,1365
114/08/07,5811888,342769002,61.0,58.3,58.98,5125
114/08/06,1505318,97018910,65.6,63.5,64.45,1352
114/08/05,902374,57152232,63.8,62.7,63.34,917
114/08/04,378165,23558657,62.6,61.3,62.3,672
114/08/01,890133,55776478,63.3,62.0,62.66,868
114/07/31,2104208,131216634,62.6,60.8,62.36,995
114/07/30,710586,43791185,62.3,60.5,61.63,568
114/07/29,493952,30043460,61.4,60.2,60.82,448
114/07/28,388684,23780942,61.6,60.8,61.18,406
114/07/25,492614,30049109,61.4,60.2,61.0,440
114/07/24,992164,59832937,61.2,59.9,60.31,755
114/07/23,729614,44596916,61.5,60.8,61.12,476
114/07/22,833082,51083756,62.5,60.7,61.32,743
114/07/21,430547,26964004,63.4,62.1,62.63,517
114/07/18,630833,39667895,63.5,62.3,62.88,660
114/07/17,1110679,69802631,63.4,61.6,62.85,849
114/07/16,274719,16901561,62.0,61.3,61.52,452
114/07/15,442760,27166298,61.9,60.9,61.36,609
114/07/14,353950,21806799,62.0,61.3,61.61,556
114/07/11,943342,58933210,63.0,62.0,62.47,919
114/07/10,1974502,121784414,62.5,60.2,61.68,1362
114/07/09,403144,24059091,60.0,59.3,59.68,337
114/07/08,589351,34651763,59.5,58.1,58.8,425
114/07/07,405080,23967400,60.2,58.9,59.17,361
114/07/04,331350,19785563,60.4,59.4,59.71,259
114/07/03,275572,16531724,60.3,59.6,59.99,243
114/07/02,382038,22840697,60.2,59.0,59.79,312
114/07/01,672360,39817277,59.8,58.8,59.22,564
114/06/30,530172,31771104,61.0,59.3,59.93,592
114/06/27,580627,34860879,60.5,59.6,60.04,473
114/06/26,587997,35438023,60.8,59.8,60.27,701
114/06/25,1132125,67998895,60.6,59.5,60.06,637
114/06/24,1179077,70283378,60.2,58.7,59.61,948
114/06/23,1259369,77831840,62.3,60.8,61.8,895
114/06/20,1849630,113707577,62.4,61.2,61.48,851
114/06/19,904870,56228028,62.6,61.5,62.14,650
114/06/18,1514971,94661624,63.0,61.8,62.48,770
114/06/17,518558,32071336,62.2,61.4,61.85,381
114/06/16,766845,47187173,62.1,60.7,61.53,539
114/06/13,1535712,94146894,62.4,60.8,61.31,1060
114/06/12,724193,44828957,62.4,61.4,61.9,503
114/06/11,716569,44191125,62.3,61.1,61.67,624
114/06/10,978767,60663619,62.4,61.4,61.98,663
114/06/09,1160679,72408565,62.9,61.4,62.38,675
114/06/06,470633,28996521,62.1,61.3,61.61,345
114/06/05,491346,30297814,62.3,61.4,61.66,436
114/06/04,446227,27617273,62.1,61.7,61.89,443
114/06/03,684167,42423629,62.7,61.6,62.01,571
114/06/02,1414414,88244709,62.7,61.8,62.39,1163
114/05/29,1031486,62944311,62.1,60.6,61.02,852
114/05/28,589531,36442052,62.3,61.3,61.82,492
114/05/27,463598,28534803,61.9,61.2,61.55,430
114/05/26,614962,37903615,62.1,61.2,61.64,626
114/05/23,947175,59103515,62.9,61.9,62.4,722
114/05/22,731880,45640169,62.7,62.1,62.36,719
114/05/21,1297515,81295506,63.0,62.3,62.65,1109
114/05/20,1422817,88518775,62.6,61.6,62.21,1327
114/05/19,1498425,92667420,62.5,61.2,61.84,1238
114/05/16,1321359,80980850,61.8,60.6,61.29,989
114/05/15,2685917,163595267,62.0,60.5,60.91,2334
114/05/14,2780337,170723908,62.4,60.5,61.4,2163
114/05/13,2853178,177288399,62.7,61.8,62.14,1938
114/05/12,7600551,477296336,66.6,61.6,62.8,6728
114/05/09,3469619,236376846,69.3,67.3,68.13,4842
114/05/08,4562240,309876258,68.8,66.6,67.92,4407
114/05/07,11138413,758584949,69.9,65.3,68.11,9151
114/05/06,1646053,107816266,66.7,64.5,65.5,1763
114/05/05,2211651,144748458,66.8,63.8,65.45,1885
114/05/02,1818050,120219595,67.0,65.4,66.13,1308
114/04/30,2215866,146276257,67.5,65.0,66.01,2260
114/04/29,3166572,209130229,67.2,64.6,66.04,3087
114/04/28,3485424,226771112,67.3,63.0,65.06,3981
114/04/25,2786034,179370365,65.4,62.8,64.38,2637
114/04/24,2639321,168019238,64.6,62.8,63.66,2690
114/04/23,5979801,376855035,65.6,61.6,63.02,8026
114/04/22,3415431,220921083,66.1,63.2,64.68,2623
114/04/21,4743908,312754863,68.1,63.8,65.93,4692
114/04/18,3242917,217148517,68.3,65.5,66.96,2775
114/04/17,4266421,283084935,68.0,64.9,66.35,4486
114/04/16,7605676,506479763,69.0,63.3,66.59,6635
114/04/15,3278255,208129551,64.4,61.6,63.49,2447
114/04/14,4716064,296359868,64.4,61.5,62.84,4275
114/04/11,6348606,384189254,61.9,58.7,60.52,4694
114/04/10,4415973,260238944,59.6,56.9,58.93,2621
114/04/09,2624731,141000418,55.4,52.6,53.72,1738
114/04/08,2915238,161932468,57.2,54.3,55.55,2013
114/04/07,7058089,393478089,57.3,53.0,55.75,4132
114/04/02,1287786,74657792,58.8,57.2,57.97,990
114/04/01,1572361,90789137,58.5,56.6,57.74,1212
