日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/01,39,"1,052",26.75,27.1,26.7,27.1,0.4,37
114/07/31,13,350,26.9,26.95,26.7,26.7,-0.25,21
114/07/30,18,490,26.75,26.95,26.75,26.95,0.05,23
114/07/29,25,668,26.6,26.9,26.6,26.9,0.05,19
114/07/28,47,"1,256",26.55,26.95,26.55,26.85,0.3,33
114/07/25,34,907,26.85,26.85,26.55,26.55,-0.25,30
114/07/24,54,"1,453",26.8,26.85,26.55,26.8,0.05,34
114/07/23,178,"4,747",26.45,26.85,26.45,26.75,0.4,69
114/07/22,61,"1,619",26.5,26.6,26.35,26.35,-0.25,51
114/07/21,51,"1,361",26.6,26.75,26.55,26.6,0.0,38
114/07/18,60,"1,585",26.65,26.7,26.5,26.6,0.05,47
114/07/17,161,"4,228",26.45,26.55,26.1,26.55,0.1,101
114/07/16,89,"2,328",26.1,26.5,26.0,26.45,0.05,95
114/07/15,234,"6,640",28.35,28.5,28.3,28.4,0.05,172
114/07/14,144,"4,096",28.4,28.5,28.3,28.35,-0.05,85
114/07/11,278,"7,889",28.1,28.55,28.1,28.4,0.4,72
114/07/10,52,"1,463",28.3,28.4,28.0,28.0,-0.3,42
114/07/09,29,820,27.9,28.4,27.75,28.3,0.4,22
114/07/08,45,"1,259",27.85,27.95,27.8,27.9,-0.1,29
114/07/07,94,"2,636",27.9,28.2,27.9,28.0,-0.05,52
114/07/04,40,"1,132",28.4,28.4,28.0,28.05,-0.35,35
114/07/03,61,"1,733",28.0,28.4,28.0,28.4,0.4,60
114/07/02,126,"3,480",27.55,28.0,27.5,28.0,0.45,133
114/07/01,76,"2,092",27.25,27.7,27.25,27.55,0.05,73
114/06/30,29,797,27.5,27.5,27.4,27.5,0.0,27
114/06/27,66,"1,822",27.5,27.6,27.4,27.5,0.15,57
114/06/26,194,"5,328",27.5,27.6,27.3,27.35,0.2,101
114/06/25,98,"2,643",27.2,27.3,27.0,27.15,0.0,70
114/06/24,118,"3,214",27.0,27.3,27.0,27.15,0.55,87
114/06/23,113,"2,989",26.8,26.8,26.25,26.6,-0.4,113
114/06/20,244,"6,631",27.8,27.8,26.95,27.0,-0.8,198
114/06/19,181,"5,093",28.6,28.75,27.8,27.8,-0.9,212
114/06/18,146,"4,189",28.6,28.85,28.5,28.7,-0.25,170
114/06/17,147,"4,296",29.55,29.65,28.95,28.95,-0.45,127
114/06/16,27,794,29.35,29.6,29.3,29.4,-0.15,25
114/06/13,123,"3,644",29.9,29.9,29.3,29.55,-0.3,111
114/06/12,68,"2,033",30.0,30.05,29.8,29.85,-0.1,52
114/06/11,75,"2,235",30.0,30.1,29.9,29.95,0.05,59
114/06/10,107,"3,227",30.0,30.2,29.85,29.9,0.0,64
114/06/09,51,"1,541",30.0,30.1,29.9,29.9,-0.25,52
114/06/06,61,"1,834",30.1,30.15,29.9,30.15,-0.1,42
114/06/05,16,486,30.3,30.3,30.05,30.25,0.2,18
114/06/04,17,513,30.25,30.35,30.05,30.05,0.0,16
114/06/03,26,783,30.15,30.2,30.0,30.05,0.15,16
114/06/02,27,819,30.35,30.35,29.9,29.9,-0.3,22
114/05/29,24,740,30.3,30.55,30.1,30.2,0.0,29
114/05/28,28,855,30.25,30.35,30.1,30.2,-0.05,25
114/05/27,110,"3,322",30.35,30.45,30.1,30.25,-0.2,81
114/05/26,34,"1,039",30.7,30.7,30.3,30.45,-0.2,36
114/05/23,144,"4,435",30.4,31.3,30.4,30.65,0.25,103
114/05/22,27,820,30.4,30.45,30.25,30.4,-0.1,21
114/05/21,45,"1,383",30.4,30.7,30.4,30.5,0.05,61
114/05/20,26,796,30.4,30.55,30.4,30.45,0.0,30
114/05/19,28,843,30.65,30.7,30.4,30.45,-0.3,31
114/05/16,36,"1,091",30.5,30.75,30.5,30.75,0.3,44
114/05/15,77,"2,350",30.75,30.8,30.45,30.45,-0.3,45
114/05/14,76,"2,319",30.4,30.75,30.4,30.75,0.35,50
114/05/13,46,"1,402",30.3,30.6,30.25,30.4,0.15,35
114/05/12,33,986,30.15,30.3,30.0,30.25,0.1,31
114/05/09,81,"2,448",30.4,30.4,30.0,30.15,-0.25,32
114/05/08,52,"1,586",30.2,30.75,30.2,30.4,0.1,41
114/05/07,38,"1,159",30.1,30.5,30.0,30.3,0.1,30
114/05/06,32,964,29.95,30.2,29.95,30.2,0.2,23
114/05/05,87,"2,624",31.2,31.2,29.7,30.0,-0.6,68
114/05/02,52,"1,601",30.8,30.8,30.4,30.6,0.0,69
114/04/30,59,"1,811",30.7,30.9,30.5,30.6,0.05,43
114/04/29,103,"3,136",30.3,30.7,30.2,30.55,0.25,67
114/04/28,47,"1,420",30.15,30.45,30.05,30.3,0.15,29
114/04/25,30,904,30.05,30.25,30.05,30.15,0.4,28
114/04/24,29,866,29.55,29.9,29.55,29.75,0.25,29
114/04/23,49,"1,453",29.5,29.9,29.5,29.5,0.4,38
114/04/22,36,"1,045",28.9,29.25,28.9,29.1,0.15,21
114/04/21,37,"1,072",29.3,29.3,28.4,28.95,-0.35,38
114/04/18,59,"1,728",28.85,29.45,28.85,29.3,0.05,44
114/04/17,42,"1,218",28.95,29.25,28.95,29.25,0.3,33
114/04/16,49,"1,416",29.65,29.65,28.9,28.95,-0.4,59
114/04/15,140,"3,994",27.65,29.4,27.65,29.35,1.5,82
114/04/14,192,"5,348",27.8,28.4,27.55,27.85,0.25,131
114/04/11,114,"3,103",26.8,27.8,26.45,27.6,0.6,98
114/04/10,43,"1,169",27.0,27.0,27.0,27.0,2.45,49
114/04/09,448,"11,268",27.15,27.25,24.45,24.55,-2.6,274
114/04/08,651,"17,654",27.1,27.95,27.0,27.15,-2.8,233
114/04/07,75,"2,236",29.95,29.95,29.95,29.95,-3.3,51
114/04/02,30,998,33.65,33.65,32.9,33.25,0.3,30
114/04/01,56,"1,837",32.5,33.05,32.3,32.95,0.55,45
114/03/31,68,"2,246",33.35,33.85,32.4,32.4,-1.25,76
114/03/28,86,"2,916",34.35,34.35,33.5,33.65,-0.6,76
114/03/27,33,"1,134",34.4,34.45,34.2,34.25,-0.25,33
114/03/26,32,"1,108",34.45,34.6,34.3,34.5,0.05,56
114/03/25,36,"1,239",34.55,34.55,34.3,34.45,0.0,28
114/03/24,57,"1,954",34.65,34.7,34.35,34.45,-0.1,45
114/03/21,63,"2,177",34.7,34.75,34.5,34.55,0.0,39
114/03/20,40,"1,383",34.6,34.65,34.4,34.55,0.0,50
114/03/19,60,"2,089",34.75,34.85,34.5,34.55,-0.05,67
114/03/18,77,"2,667",34.6,34.7,34.55,34.6,0.05,54
114/03/17,31,"1,078",34.55,34.6,34.35,34.55,0.2,37
114/03/14,34,"1,167",34.25,34.4,34.25,34.35,0.0,23
114/03/13,41,"1,424",34.5,34.6,34.25,34.35,0.0,73
114/03/12,77,"2,630",34.4,34.45,34.15,34.35,0.3,72
114/03/11,104,"3,520",34.0,34.15,33.65,34.05,-0.1,118
114/03/10,116,"3,985",34.2,34.55,34.15,34.15,0.4,146
114/03/07,48,"1,629",34.05,34.05,33.55,33.75,-0.3,37
114/03/06,36,"1,228",34.15,34.35,33.95,34.05,-0.05,36
