日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,"1,635","86,257",54.3,54.3,52.0,52.3,-2.8,"1,855"
114/08/07,271,"15,056",56.1,56.6,55.1,55.1,-0.8,448
114/08/06,398,"22,417",56.0,56.9,55.7,55.9,-0.1,479
114/08/05,448,"25,015",55.2,56.2,55.1,56.0,1.3,465
114/08/04,200,"10,857",54.0,54.8,53.2,54.7,0.7,197
114/08/01,378,"20,296",53.5,54.1,52.4,54.0,0.2,363
114/08/01,378,"20,296",53.5,54.1,52.4,54.0,0.2,363
114/07/31,311,"16,730",54.7,54.7,53.6,53.8,-0.5,410
114/07/31,311,"16,730",54.7,54.7,53.6,53.8,-0.5,410
114/07/30,181,"9,848",55.0,55.0,54.1,54.3,-0.3,208
114/07/30,181,"9,848",55.0,55.0,54.1,54.3,-0.3,208
114/07/29,175,"9,596",55.4,55.8,54.6,54.6,-0.8,299
114/07/29,175,"9,596",55.4,55.8,54.6,54.6,-0.8,299
114/07/28,158,"8,785",55.5,55.8,55.3,55.4,-0.2,220
114/07/28,158,"8,785",55.5,55.8,55.3,55.4,-0.2,220
114/07/25,238,"13,275",56.0,56.5,55.5,55.6,-0.5,248
114/07/25,238,"13,275",56.0,56.5,55.5,55.6,-0.5,248
114/07/24,327,"18,262",55.5,56.3,55.1,56.1,0.9,349
114/07/24,327,"18,262",55.5,56.3,55.1,56.1,0.9,349
114/07/23,298,"16,343",53.5,55.5,53.5,55.2,1.4,331
114/07/23,298,"16,343",53.5,55.5,53.5,55.2,1.4,331
114/07/22,571,"31,097",55.4,55.4,53.8,53.8,-1.5,717
114/07/22,571,"31,097",55.4,55.4,53.8,53.8,-1.5,717
114/07/21,314,"17,429",55.3,55.8,55.1,55.3,0.0,343
114/07/21,314,"17,429",55.3,55.8,55.1,55.3,0.0,343
114/07/18,848,"47,112",55.9,56.4,55.0,55.3,0.1,898
114/07/18,848,"47,112",55.9,56.4,55.0,55.3,0.1,898
114/07/17,"1,159","67,478",58.1,58.6,57.8,58.4,0.8,867
114/07/17,"1,159","67,478",58.1,58.6,57.8,58.4,0.8,867
114/07/16,533,"30,805",58.0,58.2,57.6,57.6,0.0,544
114/07/16,533,"30,805",58.0,58.2,57.6,57.6,0.0,544
114/07/15,388,"22,406",57.5,58.5,57.4,57.6,-0.1,402
114/07/15,388,"22,406",57.5,58.5,57.4,57.6,-0.1,402
114/07/14,375,"21,673",57.6,58.1,57.6,57.7,-0.5,358
114/07/14,375,"21,673",57.6,58.1,57.6,57.7,-0.5,358
114/07/11,460,"26,694",57.8,58.3,57.3,58.2,-0.8,482
114/07/11,460,"26,694",57.8,58.3,57.3,58.2,-0.8,482
114/07/10,199,"11,767",58.9,59.3,58.9,59.0,0.2,168
114/07/10,199,"11,767",58.9,59.3,58.9,59.0,0.2,168
114/07/09,231,"13,513",58.0,59.0,58.0,58.8,1.1,235
114/07/09,231,"13,513",58.0,59.0,58.0,58.8,1.1,235
114/07/08,289,"16,711",58.4,58.6,57.5,57.7,-1.1,390
114/07/08,289,"16,711",58.4,58.6,57.5,57.7,-1.1,390
114/07/07,145,"8,561",59.6,59.6,58.5,58.8,-0.8,212
114/07/07,145,"8,561",59.6,59.6,58.5,58.8,-0.8,212
114/07/04,197,"11,779",60.3,60.6,59.4,59.6,-0.7,284
114/07/04,197,"11,779",60.3,60.6,59.4,59.6,-0.7,284
114/07/03,274,"16,563",60.0,60.6,60.0,60.3,0.8,267
114/07/03,274,"16,563",60.0,60.6,60.0,60.3,0.8,267
114/07/02,92,"5,493",59.5,59.9,59.2,59.5,0.0,137
114/07/02,92,"5,493",59.5,59.9,59.2,59.5,0.0,137
114/07/01,178,"10,642",59.5,60.0,59.4,59.5,0.0,193
114/07/01,178,"10,642",59.5,60.0,59.4,59.5,0.0,193
114/06/30,149,"8,923",60.6,60.6,59.5,59.5,-0.5,158
114/06/30,149,"8,923",60.6,60.6,59.5,59.5,-0.5,158
114/06/27,207,"12,375",59.9,60.7,59.5,60.0,0.4,235
114/06/27,207,"12,375",59.9,60.7,59.5,60.0,0.4,235
114/06/26,174,"10,385",59.6,60.2,59.5,59.6,0.4,208
114/06/26,174,"10,385",59.6,60.2,59.5,59.6,0.4,208
114/06/25,216,"12,807",58.9,59.7,58.6,59.2,0.7,233
114/06/25,216,"12,807",58.9,59.7,58.6,59.2,0.7,233
114/06/24,291,"16,976",57.6,59.0,57.6,58.5,1.6,254
114/06/24,291,"16,976",57.6,59.0,57.6,58.5,1.6,254
114/06/23,333,"18,965",58.0,58.0,56.3,56.9,-1.1,386
114/06/23,333,"18,965",58.0,58.0,56.3,56.9,-1.1,386
114/06/20,360,"21,005",59.2,59.4,58.0,58.0,-1.4,465
114/06/20,360,"21,005",59.2,59.4,58.0,58.0,-1.4,465
114/06/19,274,"16,297",60.4,60.4,59.3,59.4,-0.5,226
114/06/19,274,"16,297",60.4,60.4,59.3,59.4,-0.5,226
114/06/18,173,"10,375",59.7,60.5,59.6,59.9,0.3,179
114/06/18,173,"10,375",59.7,60.5,59.6,59.9,0.3,179
114/06/17,224,"13,383",60.0,60.4,59.5,59.6,-0.2,229
114/06/17,224,"13,383",60.0,60.4,59.5,59.6,-0.2,229
114/06/16,200,"11,938",59.5,60.0,59.3,59.8,-0.4,269
114/06/16,200,"11,938",59.5,60.0,59.3,59.8,-0.4,269
114/06/13,461,"27,955",61.6,61.6,60.2,60.2,-1.4,451
114/06/13,461,"27,955",61.6,61.6,60.2,60.2,-1.4,451
114/06/12,208,"12,798",61.8,61.8,61.0,61.6,-0.3,229
114/06/12,208,"12,798",61.8,61.8,61.0,61.6,-0.3,229
114/06/11,595,"36,921",61.7,62.3,61.7,61.9,1.3,473
114/06/11,595,"36,921",61.7,62.3,61.7,61.9,1.3,473
114/06/10,189,"11,436",60.1,60.9,60.0,60.6,0.7,180
114/06/10,189,"11,436",60.1,60.9,60.0,60.6,0.7,180
114/06/09,195,"11,690",61.2,61.2,59.8,59.9,-0.6,242
114/06/09,195,"11,690",61.2,61.2,59.8,59.9,-0.6,242
114/06/06,151,"9,140",60.8,60.8,60.4,60.5,-0.3,170
114/06/06,151,"9,140",60.8,60.8,60.4,60.5,-0.3,170
114/06/05,136,"8,294",61.0,61.4,60.6,60.8,0.0,156
114/06/05,136,"8,294",61.0,61.4,60.6,60.8,0.0,156
114/06/04,294,"17,942",60.4,61.5,60.4,60.8,0.6,246
114/06/04,294,"17,942",60.4,61.5,60.4,60.8,0.6,246
114/06/03,152,"9,199",60.6,61.0,60.2,60.2,-0.4,173
114/06/03,152,"9,199",60.6,61.0,60.2,60.2,-0.4,173
114/06/02,196,"11,934",61.9,61.9,60.4,60.6,-1.5,227
114/06/02,196,"11,934",61.9,61.9,60.4,60.6,-1.5,227
114/05/29,162,"10,037",62.1,62.1,61.4,62.1,0.5,161
114/05/29,162,"10,037",62.1,62.1,61.4,62.1,0.5,161
114/05/28,177,"10,973",62.0,62.4,61.4,61.6,0.5,194
114/05/28,177,"10,973",62.0,62.4,61.4,61.6,0.5,194
114/05/27,291,"17,923",62.1,62.6,60.8,61.1,-0.7,280
114/05/27,291,"17,923",62.1,62.6,60.8,61.1,-0.7,280
114/05/26,115,"7,136",62.1,62.1,61.6,61.8,-0.3,146
114/05/26,115,"7,136",62.1,62.1,61.6,61.8,-0.3,146
114/05/23,132,"8,228",62.6,62.9,62.1,62.1,0.3,146
114/05/23,132,"8,228",62.6,62.9,62.1,62.1,0.3,146
114/05/22,166,"10,299",62.1,62.3,61.7,61.8,-0.5,164
114/05/22,166,"10,299",62.1,62.3,61.7,61.8,-0.5,164
114/05/21,226,"14,044",61.3,62.4,61.3,62.3,0.7,201
114/05/21,226,"14,044",61.3,62.4,61.3,62.3,0.7,201
114/05/20,155,"9,554",62.1,62.4,61.3,61.6,-0.3,272
114/05/20,155,"9,554",62.1,62.4,61.3,61.6,-0.3,272
114/05/19,296,"18,412",62.5,62.9,61.9,61.9,-1.0,285
114/05/19,296,"18,412",62.5,62.9,61.9,61.9,-1.0,285
114/05/16,207,"12,989",62.8,63.1,62.5,62.9,0.2,335
114/05/16,207,"12,989",62.8,63.1,62.5,62.9,0.2,335
114/05/15,277,"17,449",63.4,63.5,62.6,62.7,-0.6,539
114/05/15,277,"17,449",63.4,63.5,62.6,62.7,-0.6,539
114/05/14,358,"22,544",63.5,63.5,62.6,63.3,1.0,641
114/05/14,358,"22,544",63.5,63.5,62.6,63.3,1.0,641
114/05/13,417,"26,262",63.4,63.8,62.2,62.3,0.1,748
114/05/13,417,"26,262",63.4,63.8,62.2,62.3,0.1,748
114/05/12,488,"30,217",61.5,62.3,61.5,62.2,0.7,369
114/05/12,488,"30,217",61.5,62.3,61.5,62.2,0.7,369
114/05/09,297,"18,201",61.9,61.9,60.8,61.5,-0.4,416
114/05/09,297,"18,201",61.9,61.9,60.8,61.5,-0.4,416
114/05/08,325,"19,993",60.6,62.3,60.6,61.9,1.8,304
114/05/08,325,"19,993",60.6,62.3,60.6,61.9,1.8,304
